,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
0,10797460,K00752.01,Kepler-227 b,CONFIRMED,1.0,9.48803557,2.26,24.81,2,1.0,0.927,0.919
1,10797460,K00752.02,Kepler-227 c,CONFIRMED,0.969,54.4183827,2.83,77.9,2,2.0,0.927,0.919
4,10854555,K00755.01,Kepler-664 b,CONFIRMED,1.0,2.525591777,2.75,8.75,1,1.0,1.046,1.095
5,10872983,K00756.01,Kepler-228 d,CONFIRMED,1.0,11.09432054,3.9,16.36,3,1.0,0.972,1.053
6,10872983,K00756.02,Kepler-228 c,CONFIRMED,1.0,4.13443512,2.77,6.96,3,2.0,0.972,1.053
7,10872983,K00756.03,Kepler-228 b,CONFIRMED,0.992,2.56658897,1.59,5.54,3,3.0,0.972,1.053
9,10910878,K00757.01,Kepler-229 c,CONFIRMED,1.0,16.06864674,5.76,36.85,3,1.0,0.848,0.8009999999999999
10,11446443,K00001.01,Kepler-1 b,CONFIRMED,0.8109999999999999,2.470613377,13.04,8.3977,1,1.0,0.964,0.971
11,10666592,K00002.01,Kepler-2 b,CONFIRMED,1.0,2.204735417,16.1,4.602,1,1.0,1.952,1.449
12,6922244,K00010.01,Kepler-8 b,CONFIRMED,0.998,3.522498429,14.59,7.541,1,1.0,1.4509999999999998,1.132
13,10984090,K00112.02,Kepler-466 c,CONFIRMED,1.0,3.709214104,1.16,10.888,2,2.0,1.022,0.974
18,10526549,K00746.01,Kepler-660 b,CONFIRMED,1.0,9.27358173,2.47,20.65,1,1.0,0.696,0.6759999999999999
19,10583066,K00747.01,Kepler-661 b,CONFIRMED,1.0,6.02930329,2.85,29.31,1,1.0,0.672,0.7609999999999999
21,10601284,K00749.01,Kepler-226 c,CONFIRMED,1.0,5.349553819,2.55,13.8015,3,1.0,0.91,0.831
22,10601284,K00749.02,Kepler-226 b,CONFIRMED,0.98,3.94105221,1.7,11.51,3,2.0,0.91,0.831
23,10601284,K00749.03,Kepler-226 d,CONFIRMED,0.971,8.10904807,1.3,17.46,3,3.0,0.91,0.831
25,10662202,K00750.01,Kepler-662 b,CONFIRMED,1.0,21.67699193,2.95,24.6,4,1.0,0.828,0.7909999999999999
26,10682541,K00751.01,Kepler-663 b,CONFIRMED,1.0,4.99677968,2.78,13.14,1,1.0,0.847,0.931
27,11460018,K00769.01,Kepler-671 b,CONFIRMED,1.0,4.280963604,2.3,10.64,1,1.0,0.831,0.928
31,11507101,K00773.01,Kepler-672 b,CONFIRMED,1.0,38.3775486,2.82,47.8,1,1.0,1.036,0.915
32,10910878,K00757.02,Kepler-229 d,CONFIRMED,0.992,41.19725502,3.86,70.75,3,2.0,0.848,0.8009999999999999
33,10910878,K00757.03,Kepler-229 b,CONFIRMED,1.0,6.2529622489999985,2.65,18.94,3,3.0,0.848,0.8009999999999999
34,10987985,K00758.01,Kepler-665 b,CONFIRMED,1.0,16.01308419,3.1,24.7,1,1.0,0.826,0.785
