loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557,2.775E-05,-2.775E-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,0.022344,0.000832,-0.000528,3.20796,0.33173,-1.09986,LS+MCMC,2.26,0.26,-0.15,0.0853,,,89.66,,,793,,,93.59,29.45,-16.65,24.81,2.6,-2.6,35.8,2,142,1,q1_q17_dr25_tce,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,0.027954,0.009078,-0.001347,3.02368,2.20489,-2.49638,LS+MCMC,2.83,0.32,-0.19,0.2734,,,89.57,,,443,,,9.11,2.87,-1.62,77.9,28.4,-28.4,25.8,2,25,2,q1_q17_dr25_tce,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,15.347
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19.89913995,1.494E-05,-1.494E-05,175.850252,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829,171,-171,0.154046,5.034292,-0.042179,7.29555,35.03293,-2.75453,LS+MCMC,14.6,3.92,-1.31,0.1419,,,88.96,,,638,,,39.3,31.04,-10.49,53.5,25.7,-25.7,76.3,1,56,1,q1_q17_dr25_tce,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078,0.961,0.11,-0.121,297.00482,48.134129,15.436
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.736952453,2.63E-07,-2.63E-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,0.387394,0.109232,-0.08495,0.2208,0.00917,-0.01837,LS+MCMC,33.46,8.5,-2.83,0.0267,,,67.09,,,1395,,,891.96,668.95,-230.35,3.278,0.136,-0.136,505.6,1,621,1,q1_q17_dr25_tce,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067,0.836,0.093,-0.077,285.53461,48.28521,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777,3.761E-06,-3.761E-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,0.024064,0.003751,-0.001522,1.98635,2.71141,-1.74541,LS+MCMC,2.75,0.88,-0.35,0.0374,,,85.41,,,1406,,,926.16,874.33,-314.24,8.75,4,-4,40.9,1,515,1,q1_q17_dr25_tce,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,1.095,0.151,-0.136,288.75488,48.2262,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054,2.036E-05,-2.036E-05,171.20116,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,0.036779,0.005115,-0.001065,0.67324,0.33286,-0.38858,LS+MCMC,3.9,1.27,-0.42,0.0992,,,88.11,,,835,,,114.81,112.85,-36.7,16.36,8.1,-8.1,66.5,3,95,1,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512,1.046E-05,-1.046E-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686,18.7,-18.7,0.026133,0.001968,-0.002055,0.37377,0.74768,-0.26357,LS+MCMC,2.77,0.9,-0.3,0.0514,,,83.72,,,1160,,,427.65,420.33,-136.7,6.96,2.8,-2.8,40.2,3,240,2,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781E-05,-1.781E-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,0.014983,0.003935,-0.001417,0.48909,0.95593,-0.45121,LS+MCMC,1.59,0.52,-0.17,0.0374,,,82.17,,,1360,,,807.74,793.91,-258.2,5.54,2.7,-2.7,15,3,355,3,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7.36178958,2.128E-05,-2.128E-05,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,0.183387,7.128076,-0.043131,0.00485,0.27864,-0.00053,LS+MCMC,39.21,6.45,-9.67,0.082,,,60.92,,,1342,,,767.22,349.28,-365.49,2.4,1.2,-1.2,47.7,1,185,1,q1_q17_dr25_tce,6227,111,-124,3.986,0.182,-0.098,1.958,0.322,-0.483,1.358,0.121,-0.207,298.86435,42.151569,12.66
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674,1.088E-05,-1.088E-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,LS+MCMC,5.76,0.22,-0.49,0.1158,,,89.92,,,600,,,30.75,4.46,-6.66,36.85,1.2,-1.2,161.9,3,69,1,q1_q17_dr25_tce,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,15.841
