,Kepler ID
0,757076
1,757099
2,757137
3,757218
4,757231
5,757280
6,757450
7,891901
8,891916
9,892010
10,892107
11,892195
12,892203
13,892376
14,892553
15,892667
16,892675
17,892678
18,892713
19,892718
20,892738
21,892760
22,892772
23,892828
24,892832
25,892834
26,892882
27,892911
28,892946
29,892977
30,892986
31,893004
32,893033
33,893165
34,893209
35,893210
36,893214
37,893233
38,893234
39,893286
40,893288
41,893305
42,893383
43,893468
44,893505
45,893507
46,893559
47,893647
48,893676
49,893730
50,893750
51,893940
52,893944
53,893946
54,1025494
55,1025578
56,1025623
57,1025816
58,1025859
59,1025986
60,1026032
61,1026084
62,1026089
63,1026133
64,1026146
65,1026165
66,1026173
67,1026180
68,1026255
69,1026287
70,1026294
71,1026309
72,1026321
73,1026326
74,1026328
75,1026356
76,1026400
77,1026452
78,1026473
79,1026474
80,1026475
81,1026504
82,1026647
83,1026669
84,1026838
85,1026861
86,1026895
87,1026911
88,1026957
89,1026992
90,1027016
91,1027030
92,1027110
93,1027226
94,1027252
95,1027277
96,1027330
97,1027337
98,1027338
99,1027397
100,1027438
101,1027536
102,1027582
103,1027631
104,1027696
105,1027707
106,1027710
107,1027740
108,1027842
109,1027877
110,1027900
111,1027948
112,1028012
113,1028018
114,1028085
115,1028120
116,1028201
117,1028246
118,1028267
119,1028354
120,1028424
121,1028640
122,1028843
123,1160655
124,1160660
125,1160684
126,1160789
127,1160867
128,1160887
129,1160891
130,1160919
131,1160947
132,1160986
133,1161092
134,1161137
135,1161145
136,1161315
137,1161338
138,1161345
139,1161402
140,1161432
141,1161447
142,1161491
143,1161501
144,1161537
145,1161557
146,1161618
147,1161620
148,1161699
149,1161803
150,1161869
151,1161908
152,1161949
153,1161965
154,1162036
155,1162051
156,1162150
157,1162181
158,1162220
159,1162222
160,1162339
161,1162345
162,1162466
163,1162467
164,1162617
165,1162635
166,1162715
167,1162725
168,1162746
169,1162784
170,1162850
171,1162875
172,1163078
173,1163090
174,1163114
175,1163211
176,1163235
177,1163238
178,1163244
179,1163248
180,1163286
181,1163303
182,1163333
183,1163359
184,1163449
185,1163453
186,1163576
187,1163579
188,1163588
189,1163621
190,1163623
191,1163675
192,1163712
193,1163943
194,1163991
195,1163994
196,1164071
197,1164102
198,1164109
199,1164130
200,1164207
201,1164272
202,1164274
203,1164301
204,1164333
205,1164356
206,1164363
207,1164407
208,1164418
209,1164571
210,1164583
211,1164584
212,1164590
213,1292018
214,1292087
215,1292147
216,1292384
217,1292427
218,1292493
219,1292498
220,1292666
221,1292688
222,1292763
223,1292798
224,1292834
225,1292978
226,1293031
227,1293046
228,1293177
229,1293261
230,1293357
231,1293379
232,1293393
233,1293468
234,1293521
235,1293551
236,1293563
237,1293564
238,1293587
239,1293667
240,1293671
241,1293737
242,1293743
243,1293785
244,1293814
245,1293835
246,1293861
247,1293907
248,1293928
249,1293946
250,1293993
251,1294029
252,1294088
253,1294122
254,1294214
255,1294229
256,1294308
257,1294325
258,1294382
259,1294385
260,1294419
261,1294535
262,1294567
263,1294578
264,1294648
265,1294649
266,1294670
267,1294756
268,1294869
269,1294924
270,1294953
271,1294997
272,1295017
273,1295069
274,1295162
275,1295195
276,1295276
277,1295289
278,1295296
279,1295333
280,1295375
281,1295427
282,1295448
283,1295475
284,1295504
285,1295531
286,1295546
287,1295597
288,1295693
289,1295737
290,1295776
291,1295961
292,1295980
293,1296002
294,1296063
295,1296068
296,1296110
297,1296164
298,1296179
299,1296255
300,1296262
301,1296281
302,1296334
303,1296335
304,1296415
305,1296491
306,1296507
307,1296700
308,1296721
309,1296779
310,1296787
311,1296817
312,1296862
313,1296984
314,1297058
315,1297166
316,1297263
317,1297272
318,1297303
319,1297347
320,1297463
321,1297501
322,1297510
323,1429092
324,1429120
325,1429145
326,1429153
327,1429261
328,1429275
329,1429290
330,1429337
331,1429345
332,1429367
333,1429375
334,1429385
335,1429390
336,1429426
337,1429475
338,1429486
339,1429497
340,1429505
341,1429567
342,1429575
343,1429580
344,1429589
345,1429626
346,1429629
347,1429653
348,1429729
349,1429751
350,1429795
351,1429893
352,1429921
353,1429977
354,1430118
355,1430163
356,1430171
357,1430199
358,1430207
359,1430219
360,1430227
361,1430239
362,1430305
363,1430330
364,1430333
365,1430349
366,1430350
367,1430353
368,1430444
369,1430511
370,1430590
371,1430636
372,1430666
373,1430670
374,1430741
375,1430810
376,1430865
377,1430880
378,1430893
379,1430912
380,1430977
381,1430985
382,1431059
383,1431060
384,1431075
385,1431091
386,1431114
387,1431116
388,1431122
389,1431134
390,1431181
391,1431262
392,1431287
393,1431316
394,1431344
395,1431354
396,1431379
397,1431381
398,1431474
399,1431501
400,1431502
401,1431567
402,1431599
403,1431693
404,1431705
405,1431727
406,1431791
407,1431794
408,1431845
409,1431965
410,1432022
411,1432047
412,1432060
413,1432086
414,1432091
415,1432149
416,1432184
417,1432214
418,1432231
419,1432248
420,1432278
421,1432469
422,1432520
423,1432551
424,1432587
425,1432685
426,1432700
427,1432735
428,1432745
429,1432789
430,1432825
431,1432847
432,1432865
433,1432907
434,1432934
435,1432978
436,1432979
437,1433040
438,1433067
439,1433104
440,1433132
441,1433399
442,1433410
443,1433445
444,1433477
445,1433498
446,1433510
447,1433531
448,1433534
449,1433586
450,1433593
451,1433622
452,1433628
453,1433642
454,1433714
455,1433725
456,1433730
457,1433735
458,1433755
459,1433760
460,1433803
461,1433894
462,1433899
463,1433962
464,1433972
465,1433980
466,1433989
467,1434013
468,1434116
469,1434231
470,1434259
471,1434277
472,1434286
473,1434288
474,1434326
475,1434353
476,1434372
477,1434395
478,1434397
479,1434455
480,1434522
481,1434531
482,1434583
483,1434589
484,1434591
485,1434610
486,1434660
487,1434696
488,1434708
489,1434792
490,1434800
491,1434976
492,1434988
493,1435008
494,1435038
495,1435108
496,1435143
497,1435158
498,1435229
499,1435260
500,1435272
501,1435403
502,1435448
503,1435467
504,1435573
